,weight,total_income,pitax,table_row
28493,20.96207025411061,0.0,0.0,1
28482,20.96207025411061,0.0,0.0,1
97071,20.96207025411061,0.0,0.0,1
78628,20.96207025411061,0.0,0.0,1
78625,20.96207025411061,0.0,0.0,1
98384,20.96207025411061,0.0,0.0,1
70670,20.96207025411061,0.0,0.0,1
70650,20.96207025411061,0.0,0.0,1
90519,20.96207025411061,0.0,0.0,1
76198,20.96207025411061,0.0,0.0,1
76193,20.96207025411061,0.0,0.0,1
40245,20.96207025411061,0.0,0.0,1
71401,20.96207025411061,0.0,0.0,1
40267,20.96207025411061,0.0,0.0,1
16611,20.96207025411061,0.0,0.0,1
15814,20.96207025411061,0.0,0.0,1
28474,20.96207025411061,0.0,0.0,1
33390,20.96207025411061,0.0,0.0,1
71805,20.96207025411061,0.0,0.0,1
48272,20.96207025411061,0.0,0.0,1
78632,20.96207025411061,0.0,0.0,1
71799,20.96207025411061,0.0,0.0,1
97085,20.96207025411061,0.0,0.0,1
23643,20.96207025411061,0.0,0.0,1
53810,20.96207025411061,0.0,0.0,1
99764,20.96207025411061,0.0,0.0,1
476,20.96207025411061,0.0,0.0,1
16582,20.96207025411061,0.0,0.0,1
16576,20.96207025411061,0.0,0.0,1
39608,20.96207025411061,0.0,0.0,1
39647,20.96207025411061,0.0,0.0,1
82172,20.96207025411061,0.0,0.0,1
79816,20.96207025411061,0.0,0.0,1
23637,20.96207025411061,0.0,0.0,1
9189,20.96207025411061,0.0,0.0,1
23291,20.96207025411061,0.0,0.0,1
23271,20.96207025411061,0.0,0.0,1
23268,20.96207025411061,0.0,0.0,1
7197,20.96207025411061,0.0,0.0,1
51319,20.96207025411061,0.0,0.0,1
22114,20.96207025411061,0.0,0.0,1
29038,20.96207025411061,0.0,0.0,1
99750,20.96207025411061,0.0,0.0,1
99747,20.96207025411061,0.0,0.0,1
53821,20.96207025411061,0.0,0.0,1
79812,20.96207025411061,0.0,0.0,1
79809,20.96207025411061,0.0,0.0,1
75012,20.96207025411061,0.0,0.0,1
29053,20.96207025411061,0.0,0.0,1
82447,20.96207025411061,0.0,0.0,1
82147,20.96207025411061,0.0,0.0,1
92996,20.96207025411061,0.0,0.0,1
92992,20.96207025411061,0.0,0.0,1
8692,20.96207025411061,0.0,0.0,1
64908,20.96207025411061,0.0,0.0,1
15788,20.96207025411061,0.0,0.0,1
15785,20.96207025411061,0.0,0.0,1
96193,20.96207025411061,0.0,0.0,1
79377,20.96207025411061,0.0,0.0,1
82420,20.96207025411061,0.0,0.0,1
82416,20.96207025411061,0.0,0.0,1
48297,20.96207025411061,0.0,0.0,1
63350,20.96207025411061,0.0,0.0,1
63340,20.96207025411061,0.0,0.0,1
96385,20.96207025411061,0.0,0.0,1
8269,20.96207025411061,0.0,0.0,1
58139,20.96207025411061,0.0,0.0,1
552,20.96207025411061,0.0,0.0,1
87352,20.96207025411061,0.0,0.0,1
99741,20.96207025411061,0.0,0.0,1
47491,20.96207025411061,0.0,0.0,1
21710,20.96207025411061,0.0,0.0,1
21689,20.96207025411061,0.0,0.0,1
46116,20.96207025411061,0.0,0.0,1
37564,20.96207025411061,0.0,0.0,1
97076,20.96207025411061,0.0,0.0,1
6676,20.96207025411061,0.0,0.0,1
42938,20.96207025411061,0.0,0.0,1
72670,20.96207025411061,0.0,0.0,1
63338,20.96207025411061,0.0,0.0,1
63335,20.96207025411061,0.0,0.0,1
9723,20.96207025411061,0.0,0.0,1
97103,20.96207025411061,0.0,0.0,1
67488,20.96207025411061,0.0,0.0,1
55805,20.96207025411061,0.0,0.0,1
33319,20.96207025411061,0.0,0.0,1
89487,20.96207025411061,0.0,0.0,1
65647,20.96207025411061,0.0,0.0,1
78623,20.96207025411061,0.0,0.0,1
6662,20.96207025411061,0.0,0.0,1
23674,20.96207025411061,0.0,0.0,1
23663,20.96207025411061,0.0,0.0,1
60049,20.96207025411061,0.0,0.0,1
15745,20.96207025411061,0.0,0.0,1
40317,20.96207025411061,0.0,0.0,1
6639,20.96207025411061,0.0,0.0,1
6634,20.96207025411061,0.0,0.0,1
6622,20.96207025411061,0.0,0.0,1
73306,20.96207025411061,0.0,0.0,1
9737,20.96207025411061,0.0,0.0,1
9735,20.96207025411061,0.0,0.0,1
9726,20.96207025411061,0.0,0.0,1
33308,20.96207025411061,0.0,0.0,1
33306,20.96207025411061,0.0,0.0,1
72411,20.96207025411061,0.0,0.0,1
57354,20.96207025411061,0.0,0.0,1
87030,20.96207025411061,0.0,0.0,1
58310,20.96207025411061,0.0,0.0,1
92599,20.96207025411061,0.0,0.0,1
581,20.96207025411061,0.0,0.0,1
