id_n,Year,income_wage_l,income_dividends_c,income_interest_c,total_gross_income,pitax_w,pitax_c,pitax
101428,2018,588000,734367,0,1322367,58800,73437,132237
106272,2018,1857604,6300,0,1863904,247969,630,248599
102282,2018,1405281,0,0,1405281,166551,0,166551
122907,2018,464717,0,0,464717,46472,0,46472
107464,2018,3620887,0,0,3620887,565360,0,565360
104119,2018,1117200,0,0,1117200,114696,0,114696
118109,2018,605148,0,0,605148,60515,0,60515
104467,2018,593562,4474681,0,5068243,59356,447468,506824
87843,2018,899511,5877781,0,6777292,89951,587778,677729
95709,2018,2274941,0,0,2274941,323089,0,323089
151473,2018,242680,0,0,242680,24268,0,24268
139977,2018,1893377,0,0,1893377,254408,0,254408
146559,2018,1170671,0,0,1170671,124321,0,124321
142022,2018,1391796,0,0,1391796,164123,0,164123
151352,2018,3270206,0,0,3270206,502237,0,502237
143349,2018,1866410,0,0,1866410,249554,0,249554
97080,2018,0,0,0,0,0,0,0
155098,2018,899484,0,0,899484,89948,0,89948
100984,2018,0,0,0,0,0,0,0
79055,2018,1357777,0,0,1357777,158000,0,158000
106569,2018,274140,0,0,274140,27414,0,27414
153433,2018,3158543,0,0,3158543,482138,0,482138
92207,2018,534204,0,0,534204,53420,0,53420
124228,2018,1595160,0,0,1595160,200729,0,200729
128278,2018,1284600,0,0,1284600,144828,0,144828
136098,2018,534324,1472221,0,2006545,53432,147222,200654
99003,2018,0,5555556,0,5555556,0,555556,555556
107709,2018,1112965,0,0,1112965,113934,0,113934
91929,2018,1029035,0,0,1029035,102904,0,102904
135757,2018,0,0,0,0,0,0,0
135311,2018,623236,2000000,0,2623236,62324,200000,262324
93920,2018,262608,0,0,262608,26261,0,26261
86878,2018,534192,1111111,0,1645303,53419,111111,164530
99359,2018,6227340,37440,0,6264780,1034521,3744,1038265
119993,2018,2068857,0,0,2068857,285994,0,285994
126983,2018,367025,0,0,367025,36702,0,36702
127053,2018,1356227,0,0,1356227,157721,0,157721
127983,2018,1093249,0,0,1093249,110385,0,110385
119270,2018,209846,0,0,209846,20985,0,20985
80499,2018,360000,0,0,360000,36000,0,36000
126045,2018,0,0,0,0,0,0,0
131056,2018,1829548,0,0,1829548,242919,0,242919
129543,2018,439212,0,0,439212,43921,0,43921
