,id_n,Year,ADJST_TAXABLE_INCOME_M_9
313,19963,2024,46134412.2
314,20158,2024,52584231.0
315,20195,2024,35058172.8
316,20373,2024,90958950.0
317,20431,2024,0.0
318,20474,2024,474813.0
319,20566,2024,0.0
320,20576,2024,0.0
321,20609,2024,8411567.75
322,20753,2024,12543471.0
323,20876,2024,20353319.0
324,21340,2024,0.0
325,21357,2024,98223.5
326,21674,2024,1.0
327,21694,2024,7220508.0
328,21721,2024,0.0
329,21868,2024,4529957.0
330,21900,2024,384816744.79
331,21920,2024,422300.35
332,22084,2024,0.0
333,22265,2024,0.0
334,22277,2024,113264990.0
335,22282,2024,10800714.0
336,22329,2024,3308703822.05
337,22351,2024,14637457.25
338,22401,2024,38782121.0
339,22412,2024,0.0
340,22610,2024,0.0
341,22699,2024,0.0
342,22805,2024,0.0
343,22860,2024,100.0
344,23049,2024,0.0
345,23056,2024,0.0
346,23093,2024,0.0
347,23266,2024,2948025.0
348,23292,2024,143642977.0
349,23344,2024,0.0
350,23357,2024,5595164.66
351,23377,2024,15925983.33
352,23459,2024,0.0
353,23650,2024,14601898.0
354,23719,2024,100389246.0
355,23730,2024,182515.0
356,23771,2024,0.0
357,23785,2024,1857160.0
358,23840,2024,68380332.35
359,23861,2024,7137574.0
360,23895,2024,0.0
361,23933,2024,2241972.0
362,23950,2024,4122945.89
363,24005,2024,19588.0
364,24230,2024,380937.0
365,24309,2024,0.0
366,24389,2024,0.0
367,24429,2024,10888900.0
368,24460,2024,920493.85
369,24469,2024,1.0
370,24533,2024,14350.0
371,24562,2024,106734.4
372,24606,2024,0.0
373,24725,2024,0.0
374,24898,2024,837001.0
375,25074,2024,314383521.0
376,25191,2024,1315579.25
377,25206,2024,0.0
378,25225,2024,37461013.32
379,25237,2024,123666696.0
380,25328,2024,394565.0
381,25369,2024,0.0
382,25377,2024,0.0
383,25536,2024,3056441.0
384,25611,2024,556164.0
385,25650,2024,359600.45
386,25660,2024,92516000.0
387,25679,2024,10217236.0
388,25702,2024,7783274.95
389,25706,2024,545537.5
390,25707,2024,1140282.0
391,25719,2024,9957109.0
392,25741,2024,0.0
393,25783,2024,0.0
394,25938,2024,2141386.0
395,25997,2024,7652528.0
396,26009,2024,96030375.0
397,26027,2024,8468864.3
398,26037,2024,41481311.16
399,26224,2024,0.0
400,26250,2024,530223.0
401,26274,2024,5000.0
402,26339,2024,6914634.85
403,26381,2024,1.0
404,26389,2024,6770025.45
405,26394,2024,0.0
